epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6572.6,1.80488,1.90389,1.26522,0.8329,0.3123,0.34274,0.18486,1.57839,1.34168,1.09787,0.000553488,0.000553488,0.000553488
2,7313.82,1.54824,1.18875,1.13051,0.89146,0.33135,0.39111,0.23789,1.4379,1.15402,1.09518,0.00106523,0.00106523,0.00106523
3,8110.51,1.48864,1.09411,1.11473,0.8879,0.35338,0.39718,0.23251,1.3747,1.00738,1.04957,0.00153297,0.00153297,0.00153297
4,8977.96,1.4193,1.01897,1.09493,0.91596,0.37382,0.42295,0.26091,1.3315,0.94918,1.05494,0.00146896,0.00146896,0.00146896
5,9829.28,1.37396,0.95214,1.07336,0.89918,0.38407,0.40921,0.26364,1.29355,0.94098,1.0259,0.00140295,0.00140295,0.00140295
6,10633.8,1.38924,0.9257,1.0685,0.91589,0.3919,0.45044,0.28083,1.25591,0.90785,1.01533,0.00133693,0.00133693,0.00133693
7,11492,1.29716,0.84757,1.04327,0.92526,0.40438,0.4403,0.29532,1.20713,0.81029,0.99671,0.00127092,0.00127092,0.00127092
8,12351.5,1.26367,0.82584,1.03483,0.90735,0.40891,0.43824,0.2978,1.19988,0.81123,0.99551,0.00120491,0.00120491,0.00120491
9,13229.8,1.21851,0.80765,1.01869,0.93792,0.39905,0.4602,0.31853,1.17043,0.75187,0.97918,0.00113889,0.00113889,0.00113889
10,14080.6,1.25502,0.80425,1.03219,0.9463,0.40799,0.46441,0.32479,1.12697,0.72558,0.97153,0.00107288,0.00107288,0.00107288
11,14958.7,1.20769,0.7662,1.00577,0.9357,0.4095,0.45863,0.31202,1.15954,0.73702,0.97282,0.00100687,0.00100687,0.00100687
12,15802.1,1.20299,0.7854,1.01163,0.94103,0.42646,0.46457,0.32417,1.11071,0.70571,0.95916,0.000940855,0.000940855,0.000940855
13,16683.9,1.1697,0.73828,0.99688,0.94258,0.41345,0.49576,0.35253,1.098,0.71993,0.95325,0.000874842,0.000874842,0.000874842
14,17398.5,1.17134,0.73268,0.99919,0.94808,0.41173,0.4803,0.34504,1.07383,0.68237,0.94577,0.000808828,0.000808828,0.000808828
15,18177.9,1.14348,0.71671,0.99176,0.95338,0.42378,0.491,0.34755,1.06007,0.6624,0.93927,0.000742815,0.000742815,0.000742815
16,18996.8,1.0882,0.69498,0.97193,0.94908,0.4164,0.49746,0.35552,1.07535,0.66621,0.94673,0.000676802,0.000676802,0.000676802
17,19720.6,1.06778,0.67427,0.96624,0.95463,0.43073,0.53583,0.38571,1.03356,0.65209,0.93279,0.000610789,0.000610789,0.000610789
18,20550.4,1.05511,0.65057,0.95975,0.95948,0.42481,0.56209,0.39761,1.05131,0.64307,0.93206,0.000544776,0.000544776,0.000544776
19,21372.2,1.03489,0.62738,0.9446,0.95874,0.43553,0.54157,0.39317,1.00698,0.6181,0.92391,0.000478762,0.000478762,0.000478762
20,22128.8,1.00317,0.61151,0.94241,0.96169,0.4348,0.6002,0.4458,0.99183,0.59249,0.91859,0.000412749,0.000412749,0.000412749
21,22830.2,0.9898,0.59876,0.93968,0.96295,0.44105,0.63729,0.45866,0.9556,0.57976,0.90877,0.000346736,0.000346736,0.000346736
22,23546.1,0.96793,0.58191,0.93083,0.72681,0.62392,0.71269,0.53146,0.95852,0.58059,0.90866,0.000280723,0.000280723,0.000280723
23,24357.9,0.95757,0.57537,0.92887,0.6933,0.56007,0.66816,0.50042,0.94326,0.5654,0.90342,0.00021471,0.00021471,0.00021471
24,25148.7,0.93299,0.56028,0.91711,0.75978,0.63088,0.70432,0.54291,0.91368,0.54273,0.89551,0.000148696,0.000148696,0.000148696
25,25943.6,0.92608,0.55447,0.91637,0.79649,0.60035,0.68654,0.52833,0.90589,0.5426,0.8944,8.26832e-05,8.26832e-05,8.26832e-05
